Name	Completeness	Contamination	Completeness_Model_Used	Additional_Notes
2019_bqzb_2_bin.20.purify	94.58	0.76	Gradient Boost (General Model)	None
2019_zjzb_5_bin.27.purify	84.3	1.51	Gradient Boost (General Model)	None
2020_CESD_W_2_bin.137.purify	76.66	3.26	Neural Network (Specific Model)	None
2020_CESD_W_2_bin.155.purify	78.33	3.18	Neural Network (Specific Model)	None
2020_CJH_W1_bin.104.purify	80.82	0.68	Neural Network (Specific Model)	None
2020_CN_B_W_1_bin.182.purify	70.39	0.71	Neural Network (Specific Model)	None
2020_CN_B_W_2_bin.211.purify	77.21	0.84	Neural Network (Specific Model)	None
2020_CN_D_w_1_bin.87.purify	70.09	0.07	Neural Network (Specific Model)	None
2020_CN_DB_w_1_bin.76.purify	76.91	0.76	Neural Network (Specific Model)	None
2020_CN_N_W_1_bin.10.purify	72.3	0.1	Neural Network (Specific Model)	None
2020_CN_N_W_2_0m_bin.145.purify	74.38	0.57	Neural Network (Specific Model)	None
2020_CRC_20W_1_0m_1_bin.141.purify	74.15	4.66	Neural Network (Specific Model)	None
2020_CRC_20W_1_5m_1_bin.1.purify	83.17	2.22	Neural Network (Specific Model)	None
2020_DQZB_w2_bin.26.purify	80.76	0.76	Neural Network (Specific Model)	None
2020_DQZB_w6_bin.142.purify	79.11	0.54	Neural Network (Specific Model)	None
2020_HH3_W1_bin.44.purify	75.31	0.08	Neural Network (Specific Model)	None
2020_HHSD3_W1_bin.46.purify	74.98	0.65	Neural Network (Specific Model)	None
2020_JNYC_20W_1_0m_1_bin.3.purify	85.03	0.92	Neural Network (Specific Model)	None
2020_JNYC_20W_1_100m_1_bin.31.purify	84.72	0.94	Neural Network (Specific Model)	None
2020_JNYC_20W_1_20m_1_bin.156.purify	83.79	3.31	Neural Network (Specific Model)	None
2020_JNYC_20W_1_20m_1_bin.170.purify	81.93	3.79	Neural Network (Specific Model)	None
2020_JNYC_20W_1_40m_1_bin.103.purify	84.2	2.15	Neural Network (Specific Model)	None
2020_JNYC_20W_1_40m_1_bin.67.purify	72.48	0.45	Neural Network (Specific Model)	None
2020_JNYC_20W_1_60m_1_bin.131.purify	87.92	2.61	Neural Network (Specific Model)	None
2020_JNYC_20W_1_60m_1_bin.91.purify	89.14	3.74	Gradient Boost (General Model)	None
2020_JNYC_20W_1_80m_1_bin.130.purify	83.49	0.47	Neural Network (Specific Model)	None
2020_JNYC_20W_2_1_bin.98.purify	86.69	2.58	Neural Network (Specific Model)	None
2020_KMC_20W_1_10m_1_bin.19.purify	75.51	0.92	Gradient Boost (General Model)	None
2020_SLC_w_7_bin.196.purify	71.8	3.62	Neural Network (Specific Model)	None
2020_SQ_W_1_bin.87.purify	82.44	2.46	Neural Network (Specific Model)	None
2020_TLH1_W1_bin.58.purify	80.58	0.97	Neural Network (Specific Model)	None
2020_TLSD3_W1_bin.4.purify	76.92	0.02	Neural Network (Specific Model)	None
2020_YBJSD_W_1_bin.84.purify	79.25	0.35	Neural Network (Specific Model)	None
2020_YBJSD_W_2_bin.50.purify	87.3	0.34	Neural Network (Specific Model)	None
2020_YZYC_20W_1_10m_1_bin.149.purify	79.57	2.47	Neural Network (Specific Model)	None
2020_YZYC_20W_1_15m_1_bin.106.purify	70.17	0.08	Neural Network (Specific Model)	None
2020_YZYC_20W_1_20m_1_bin.94.purify	72.4	0.18	Neural Network (Specific Model)	None
2020_YZYC_20W_1_25m_1_bin.128.purify	72.92	0.16	Neural Network (Specific Model)	None
2020_YZYC_20W_1_5m_1_bin.31.purify	71.84	0.65	Neural Network (Specific Model)	None
2020_ZJZBSD_01_1_bin.11.purify	95.15	1.02	Neural Network (Specific Model)	None
2020_ZJZBSD_04_1_bin.130.purify	98.72	0.33	Neural Network (Specific Model)	None
2020_ZJZBSD_04_3_bin.62.purify	81.27	2.49	Neural Network (Specific Model)	None
2021_BC_W20_bin.72.purify	81.01	2.39	Neural Network (Specific Model)	None
2021_BQZBSD_W1+_bin.51.purify	84.43	0.11	Neural Network (Specific Model)	None
2021_CBL_W2_bin.78.purify	79.67	0.3	Neural Network (Specific Model)	None
2021_CBL_W3_bin.9.purify	73.87	1.14	Neural Network (Specific Model)	None
2021_CMY_W3_bin.57.purify	75.44	0	Neural Network (Specific Model)	None
2021_SD_W41_bin.130.purify	75	1.03	Neural Network (Specific Model)	None
2021_SD_W41_bin.52.purify	76.06	0.04	Neural Network (Specific Model)	None
2021_SD_W42_bin.54.purify	78.58	0.83	Neural Network (Specific Model)	None
2021_SD_W43_bin.42.purify	79.25	0.79	Neural Network (Specific Model)	None
2021_SD_W62_bin.48.purify	83.99	4.59	Neural Network (Specific Model)	None
2021_SD_W63_bin.39.purify	76.03	0.86	Gradient Boost (General Model)	None
2021_SD_W73_bin.75.purify	82.23	0.02	Neural Network (Specific Model)	None
2021_SLHSD_W2_bin.84.purify	74.54	2.64	Neural Network (Specific Model)	None
2021_SLHSD_W5_bin.73.purify	77.77	1.27	Neural Network (Specific Model)	None
2021_TMRSD_W4_bin.73.purify	89.87	2.02	Neural Network (Specific Model)	None
2021_ZJZB_W23_bin.48.purify	76.3	0.66	Neural Network (Specific Model)	None
2021_ZJZB_W3_bin.50.purify	76.93	0.42	Neural Network (Specific Model)	None
2021_ZJZB_W4_bin.54.purify	71.71	3.96	Neural Network (Specific Model)	None
2021_ZJZBSD_W51_bin.95.purify	79.83	0.21	Neural Network (Specific Model)	None
GFS_10061	90.25	2.89	Neural Network (Specific Model)	None
GFS_6717	70.74	6.83	Neural Network (Specific Model)	None
GFS_8810	70.83	4.72	Neural Network (Specific Model)	None
GFS_9371	83.51	0	Neural Network (Specific Model)	None
GL115_UP_metabinner_4	92.59	2.03	Neural Network (Specific Model)	None
GL124_DN_metabat_88_sub	83.44	4.27	Neural Network (Specific Model)	None
GL51_DN_concoct_96	88.25	2.46	Neural Network (Specific Model)	None
GL53_Down_metabinner_31_sub	90.38	5.14	Neural Network (Specific Model)	None
GL53_Up_metabat_123_sub	78.63	1.58	Gradient Boost (General Model)	None
GL54_UP_metabat_59	72.43	6.07	Neural Network (Specific Model)	None
GL72_UP_metabinner_127_sub	70.92	3.97	Neural Network (Specific Model)	None
GL74_DN_metabinner_58	86.21	7.44	Neural Network (Specific Model)	None
GL93_UP_metabat_6_sub	85.62	2.84	Gradient Boost (General Model)	None
GL95_UP_metabat_47	76.17	3.25	Neural Network (Specific Model)	None
GL99_UP_metabinner_20	82.8	2.4	Neural Network (Specific Model)	None
GLR56_GL46_UP_1_metabat_13	94.27	1.08	Neural Network (Specific Model)	None
GLR68_GL53_UP_2_metabat_54	92.22	1.21	Neural Network (Specific Model)	None
ISO_B136_3	100	0.05	Neural Network (Specific Model)	None
ISO_B141_3	99.99	0.61	Neural Network (Specific Model)	None
ISO_B147_2	99.99	0.05	Neural Network (Specific Model)	None
ISO_B224_1	100	0.58	Neural Network (Specific Model)	None
ISO_B231_2	100	0.42	Neural Network (Specific Model)	None
ISO_B231_3	100	0.14	Neural Network (Specific Model)	None
ISO_B412_3	99.99	0.05	Neural Network (Specific Model)	None
ISO_B44	100	0	Neural Network (Specific Model)	None
ISO_B443_1	99.97	0.71	Neural Network (Specific Model)	None
ISO_B468_1	99.99	0.13	Neural Network (Specific Model)	None
ISO_B485_1.001	100	0.18	Neural Network (Specific Model)	None
ISO_B485_2	100	1.56	Neural Network (Specific Model)	None
ISO_B505_3	100	0.21	Neural Network (Specific Model)	None
ISO_B518_3	99.99	0.41	Neural Network (Specific Model)	None
ISO_B68_3	99.74	0.09	Neural Network (Specific Model)	None
ISO_B98_3	100	0.01	Neural Network (Specific Model)	None
ISO_DSP2_3_2.001	100	0.03	Neural Network (Specific Model)	None
ISO_N1991_1_4	99.99	0.06	Neural Network (Specific Model)	None
ISO_N1994_1_3	99.98	0.02	Neural Network (Specific Model)	None
ISO_N1998_1_3	99.97	0.04	Neural Network (Specific Model)	None
ISO_N1999_1_3	100	0.37	Neural Network (Specific Model)	None
ISO_N1999_2_4	100	0.12	Neural Network (Specific Model)	None
MAG_1811AZI1_metabat2_bin.43	90.89	0.19	Neural Network (Specific Model)	None
MAG_1811AZI1_metabat2_bin.86	91.84	2.11	Neural Network (Specific Model)	None
MAG_1811ZXGI1_metabat2_bin.10	73.74	0.1	Neural Network (Specific Model)	None
MAG_190624KS2_metabat2_bin.31	80.31	2.29	Neural Network (Specific Model)	None
MAG_190624KS2_metabat2_bin.60	79.08	1.2	Neural Network (Specific Model)	None
MAG_1906TGLS_vamb_S1C9042	89.49	2.03	Neural Network (Specific Model)	None
MAG_1907QMI2_metabat2_bin.27	81.02	0.99	Neural Network (Specific Model)	None
MAG_1907QMS_metabat2_bin.29	85.61	1.58	Neural Network (Specific Model)	None
MAG_1908TGLS3_metabat2_bin.36	79.72	1.01	Neural Network (Specific Model)	None
MAG_KQGRSC.20.08_vamb_bins_S1C4378	99.48	0.93	Neural Network (Specific Model)	None
MAG_RWS.20.06_metabat2_bin.39	88.38	4.27	Neural Network (Specific Model)	None
Polaromonas_eurypsychrophila_CGMCC_1.15322_GCA_014641715.1	100	0.22	Neural Network (Specific Model)	None
Polaromonas_naphthalenivorans_CJ2_GCA_000015505.1	100	0.5	Neural Network (Specific Model)	None
Polaromonas_sp._337R_metabinner_20_sub_GCA_025363315.1	90.86	2.53	Neural Network (Specific Model)	None
Polaromonas_sp._338R_metabinner_111_GCA_025363125.1	80.53	4.46	Neural Network (Specific Model)	None
Polaromonas_sp._338R_metabinner_90_sub_GCA_025362825.1	78.67	3.09	Neural Network (Specific Model)	None
Polaromonas_sp._341R_metabinner_37_GCA_025362315.1	87.92	6.18	Gradient Boost (General Model)	None
Polaromonas_sp._341R_metabinner_59_sub_GCA_025359325.1	85.35	5.96	Neural Network (Specific Model)	None
Polaromonas_glacialis_R3_9_GCA_000709345.1	99.24	1.62	Neural Network (Specific Model)	None
Polaromonas_sp._338R_metabat_72_GCA_025352405.1	93.3	0.97	Neural Network (Specific Model)	None
Polaromonas_sp._341R_metabat_60_GCA_025351605.1	75.72	1.27	Neural Network (Specific Model)	None
Polaromonas_sp._A23_GCA_002001015.1	100	0	Neural Network (Specific Model)	None
Polaromonas_sp._Bin2_6_GCA_010365105.1	100	1.01	Neural Network (Specific Model)	None
Polaromonas_sp._C12_concoct.bin.109_sub_GCA_030683705.1	93.26	2.22	Neural Network (Specific Model)	None
Polaromonas_sp._C12_concoct.bin.8_GCA_030683285.1	94.12	2.89	Neural Network (Specific Model)	None
Polaromonas_sp._C13_concoct.bin.116_GCA_030679725.1	99.99	8.54	Neural Network (Specific Model)	None
Polaromonas_sp._C15_concoct.bin.134_GCA_030680935.1	99.97	1.32	Neural Network (Specific Model)	None
Polaromonas_sp._C17_maxbin.022_GCA_030684785.1	100	1.41	Neural Network (Specific Model)	None
Polaromonas_sp._C18_concoct.bin.138_GCA_030694565.1	78.09	0.52	Neural Network (Specific Model)	None
Polaromonas_sp._C1_concoct.bin.30_sub_GCA_030682935.1	85.37	0.33	Neural Network (Specific Model)	None
Polaromonas_sp._C21_concoct.bin.69_GCA_030689685.1	100	0.22	Neural Network (Specific Model)	None
Polaromonas_sp._C4_concoct.bin.74_GCA_030698065.1	93.56	3.55	Neural Network (Specific Model)	None
Polaromonas_sp._C4_concoct.bin.81_GCA_030698005.1	89.13	2.07	Neural Network (Specific Model)	None
Polaromonas_sp._C5_concoct.bin.153_GCA_030697125.1	84.73	1.4	Neural Network (Specific Model)	None
Polaromonas_sp._CAN_BIN17_GCA_026786065.1	78.14	1.34	Neural Network (Specific Model)	None
Polaromonas_sp._CF318_GCA_000282655.1	100	0.08	Neural Network (Specific Model)	None
Polaromonas_sp._CG9_12_GCA_000751355.1	100	0.65	Neural Network (Specific Model)	None
Polaromonas_sp._CG_23.6_GCA_029892315.1	100	0.03	Neural Network (Specific Model)	None
Polaromonas_sp._CG_9.11_GCA_015752225.1	100	0.72	Neural Network (Specific Model)	None
Polaromonas_sp._CG_9.5_GCA_035984465.1	99.99	0.15	Neural Network (Specific Model)	None
Polaromonas_sp._CG_9.7_GCA_015752205.1	100	0	Neural Network (Specific Model)	None
Polaromonas_sp._E10_concoct.bin.55_GCA_030654695.1	99.18	2.13	Neural Network (Specific Model)	None
Polaromonas_sp._E14_maxbin.029_GCA_030650875.1	83.7	1.7	Neural Network (Specific Model)	None
Polaromonas_sp._E19_concoct.bin.13_sub_GCA_030646735.1	88.19	3.74	Neural Network (Specific Model)	None
Polaromonas_sp._E19_concoct.bin.163_sub_GCA_030645205.1	87.48	3.17	Neural Network (Specific Model)	None
Polaromonas_sp._E1_concoct.bin.12_GCA_030655515.1	84.26	4.49	Neural Network (Specific Model)	None
Polaromonas_sp._E1_concoct.bin.27_sub_GCA_030655465.1	81.64	5.79	Neural Network (Specific Model)	None
Polaromonas_sp._E1_maxbin.018_sub_GCA_030655375.1	90.65	9.07	Neural Network (Specific Model)	None
Polaromonas_sp._E6_concoct.bin.119_GCA_030653575.1	100	8.85	Neural Network (Specific Model)	None
Polaromonas_sp._GL140_1_metabinner_90_sub_GCA_025358905.1	78.04	1.77	Neural Network (Specific Model)	None
Polaromonas_sp._GL140_2_metabinner_137_GCA_025359525.1	78.94	1.17	Neural Network (Specific Model)	None
Polaromonas_sp._GL140_3_metabinner_95_sub_GCA_025361825.1	81.22	2.27	Neural Network (Specific Model)	None
Polaromonas_sp._KJH.2_GCA_012927485.1	99.98	0.01	Neural Network (Specific Model)	None
Polaromonas_sp._LF_bin_444_GCA_014376885.1	73.18	1.39	Neural Network (Specific Model)	None
Polaromonas_sp._LacPavin_0920_WC12_MAG_62_10_GCA_026400075.1	83.69	0.68	Neural Network (Specific Model)	None
Polaromonas_sp._MAG_29_GCA_018780625.1	87.89	1.34	Neural Network (Specific Model)	None
Polaromonas_sp._MAG_75_GCA_031426775.1	79.85	0.3	Neural Network (Specific Model)	None
Polaromonas_sp._MGR_bin325_GCA_013817205.1	99.97	0.12	Neural Network (Specific Model)	None
Polaromonas_sp._NC_groundwater_594_Pr5_B_0.1um_59_23_GCA_016185115.1	96.07	1.72	Gradient Boost (General Model)	None
Polaromonas_sp._OTE_14_metabat.17_GCA_031365885.1	81.21	0.71	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_14_metabat.245_GCA_031365795.1	77.47	1.61	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_1_metabat_241_GCA_031360565.1	70.46	0.47	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_1_metabat_360_sub_GCA_031360275.1	82.97	4.5	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_21_concoct_200_GCA_031364265.1	88.73	1.74	Gradient Boost (General Model)	None
Polaromonas_sp._OTE_21_metabat_256_GCA_031363755.1	94.91	0.36	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_51_metabat_360_GCA_031370115.1	72.48	0.58	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_70_concoct_231_GCA_031375865.1	81.26	1.94	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_70_metabat_118_sub_GCA_031375685.1	76.47	0.61	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_78_metabat_150_GCA_031386895.1	94.34	1.5	Neural Network (Specific Model)	None
Polaromonas_sp._OTE_78_metabat_161_GCA_031386705.1	77.56	0.5	Neural Network (Specific Model)	None
Polaromonas_sp._OV174_GCA_900112285.1	100	0.72	Neural Network (Specific Model)	None
Polaromonas_sp._P1_6_GCA_024703875.1	73.39	8.05	Gradient Boost (General Model)	None
Polaromonas_sp._P1_28__13_GCA_024703815.1	81.24	8.58	Gradient Boost (General Model)	None
Polaromonas_sp._P1_28__8_GCA_024703835.1	77.8	3.97	Neural Network (Specific Model)	None
Polaromonas_sp._P2_4_GCA_024703855.1	82.02	7.67	Gradient Boost (General Model)	None
Polaromonas_sp._RGN.1_GCA_012927455.1	99.24	0.18	Neural Network (Specific Model)	None
Polaromonas_sp._RGN.2_GCA_012927415.1	90.69	0.15	Neural Network (Specific Model)	None
Polaromonas_sp._RYN_542_GCA_028292745.1	85.38	0.55	Neural Network (Specific Model)	None
Polaromonas_sp._RYN_562_GCA_028292345.1	74.99	2.13	Neural Network (Specific Model)	None
Polaromonas_sp._RYN_574_GCA_028292045.1	77.4	0.22	Neural Network (Specific Model)	None
Polaromonas_sp._RYN_579_GCA_028291985.1	96.5	0.5	Neural Network (Specific Model)	None
Polaromonas_sp._RYN_585_GCA_028291905.1	76.51	1.16	Neural Network (Specific Model)	None
Polaromonas_sp._RYN_586_GCA_028291865.1	71.06	0.41	Neural Network (Specific Model)	None
Polaromonas_sp._SM01_GCA_033446725.1	99.97	0.27	Neural Network (Specific Model)	None
Polaromonas_sp._SMAG_U11085_GCA_035638815.1	100	0.1	Neural Network (Specific Model)	None
Polaromonas_sp._SMAG_U4641_GCA_036506595.1	81.93	2.21	Neural Network (Specific Model)	None
Polaromonas_sp._SOY_38_metabat_66_GCA_031396485.1	93.39	0.44	Neural Network (Specific Model)	None
Polaromonas_sp._UBA10861_GCA_003454315.1	75.64	2.42	Gradient Boost (General Model)	None
Polaromonas_sp._UBA4122_UBA4122_GCA_002381615.1	99.46	0.39	Neural Network (Specific Model)	None
Polaromonas_sp._UBA5171_UBA5171_GCA_002413395.1	100	0.09	Gradient Boost (General Model)	None
Polaromonas_sp._VAR_17_metabat_362_GCA_031412235.1	83.2	1.12	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_18_metabat_307_GCA_031411155.1	90.59	1.18	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_25_metabat_291_GCA_031410335.1	91.87	2.6	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_34_metabat_240_GCA_031409395.1	80.71	2.03	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_34_metabat_99_GCA_031414215.1	96.89	1.31	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_35_metabat_389_GCA_031417995.1	91.55	0.46	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_35_metabat_51_GCA_031417695.1	82.76	0.39	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_45_metabat_307_GCA_031419775.1	72.29	1.51	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_48_metabat_346_GCA_031422575.1	74.47	0.73	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_61_metabat_80_GCA_031424935.1	99.22	3.09	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_69_concoct_353_sub_GCA_031424555.1	71.36	0.98	Gradient Boost (General Model)	None
Polaromonas_sp._VAR_69_metabat_82_GCA_031423655.1	79.17	0.34	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_78_metabat_344_GCA_031431575.1	77.75	0.86	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_87_metabat_250_GCA_031427595.1	70.62	1.49	Neural Network (Specific Model)	None
Polaromonas_sp._VAR_87_metabat_80_GCA_031427075.1	78.77	2.7	Gradient Boost (General Model)	None
Polaromonas_sp._YR568_GCA_900116715.1	100	0.21	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_GCA_945860515.1	83.58	0.27	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_GCA_945867705.1	77.45	1.25	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_GCA_945871335.1	71.89	4.63	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_GCA_945878265.1	83.73	0.01	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_GCA_945878995.1	95.64	0.58	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_GCA_945881975.1	95.23	1.5	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_GCA_945896805.1	81.25	0.37	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_GCA_945907175.1	87.37	0.59	Neural Network (Specific Model)	None
Polaromonas_sp._b69_HoplandSoilSeptJan_GCA_021153985.1	86.35	0.01	Neural Network (Specific Model)	None
Polaromonas_sp._bin.87_GCA_013205645.1	71.99	1.86	Gradient Boost (General Model)	None
Polaromonas_sp._nzgw554_GCA_023259235.1	85.84	0.14	Neural Network (Specific Model)	None
Polaromonas_vacuolata_KCTC_22033_GCA_012584515.1	100	1.43	Neural Network (Specific Model)	None
uncultured_Polaromonas_sp._GCA_946479075.1	82.07	0.48	Neural Network (Specific Model)	None
Polaromonas_aquatica_CCUG_39402_GCA_042659145.1	99.31	4.9	Gradient Boost (General Model)	None
Polaromonas_hydrogenivorans_DSM_17735_GCA_040105105.1	99.97	0.92	Neural Network (Specific Model)	None
Polaromonas_jejuensis_NBRC_106434_ena_yuan_GCF_001598235.1_GCA_963869285.1	100	0.85	Neural Network (Specific Model)	None
Polaromonas_sp._EUL_161_GCA_040400945.1	100	1.2	Neural Network (Specific Model)	None
Polaromonas_sp._EUL_162_GCA_040400935.1	100	0.05	Neural Network (Specific Model)	None
Polaromonas_sp._EUL_168_GCA_040400815.1	82.36	0.02	Neural Network (Specific Model)	None
Polaromonas_sp._EUL_170_GCA_040400775.1	73.12	0	Neural Network (Specific Model)	None
Polaromonas_sp._LC052_GCA_036676035.1	93.02	0.9	Neural Network (Specific Model)	None
Polaromonas_sp._LC071_GCA_036675725.1	72.12	2.71	Neural Network (Specific Model)	None
Polaromonas_sp._ME_04may21_LR_166_GCA_964203505.1	96.2	3.35	Gradient Boost (General Model)	None
Polaromonas_sp._ME2014_05_28_3300035212_group5_bin114_GCA_044362035.1	79.23	0.02	Neural Network (Specific Model)	None
Polaromonas_sp._ME2015_05_09_3300035438_group6_bin58_GCA_044357185.1	90.16	1.17	Neural Network (Specific Model)	None
Polaromonas_sp._ME2015_05_19_3300034121_group6_bin52_GCA_044349845.1	99.75	0.02	Neural Network (Specific Model)	None
Polaromonas_sp._ME2015_10_15_3300034096_group6_bin145_GCA_044355135.1	73.11	0.15	Neural Network (Specific Model)	None
Polaromonas_sp._ME2016_05_06_3300042878_group7_bin259_GCA_044354315.1	84.85	0.38	Neural Network (Specific Model)	None
Polaromonas_sp._ME2016_07_20_3300033996_group7_bin88_GCA_044352515.1	88	0.4	Neural Network (Specific Model)	None
Polaromonas_sp._ME2016_07_29_3300044622_group7_bin1_GCA_044352025.1	72.91	0.03	Neural Network (Specific Model)	None
Polaromonas_sp._ME2017_06_07_3300042514_group7_bin120_GCA_044350025.1	92.82	0.97	Neural Network (Specific Model)	None
Polaromonas_sp._ME2018_11_08GD_3300042901_group8_bin35_GCA_044378095.1	100	0.03	Neural Network (Specific Model)	None
Polaromonas_sp._Sample_102_S76_bin_189_GCA_040381515.1	88.47	0.27	Neural Network (Specific Model)	None
Polaromonas_sp._UC242_47_UC242_47_GCA_044452385.1	100	0.89	Gradient Boost (General Model)	None
Polaromonas_sp._YR568_JJ_ME644_99_2_m1_bin335_GCA_943371765.1	100	0.35	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_JJ_MEM5D2_223_4_m1_bin343_GCA_943371715.1	99.87	0.05	Neural Network (Specific Model)	None
Polaromonas_sp._YR568_JJ_MO2C4_301_2_mx_bin692_GCA_943372955.1	100	0.14	Neural Network (Specific Model)	None
Polaromonas_sp._cluster1_bin.8_GCA_039925285.1	71.18	0.38	Gradient Boost (General Model)	None
Polaromonas_sp._cluster3_bin.188_GCA_039932935.1	95.88	0.42	Neural Network (Specific Model)	None
Polaromonas_sp._cluster3_bin.291_GCA_039930745.1	94.22	0	Neural Network (Specific Model)	None
Polaromonas_sp._cluster4_bin.192_GCA_040004635.1	70.67	1.13	Neural Network (Specific Model)	None
Polaromonas_sp._concoct.226.WLB_GCA_041689105.1	99.95	0.75	Neural Network (Specific Model)	None
icacos_2019_sw_WHONDRS_S19S_0094_B_bin.144	88.85	0.15	Neural Network (Specific Model)	None
ice_MAG_1	95.22	0.79	Gradient Boost (General Model)	None
ice_MAG_100	77.87	0	Neural Network (Specific Model)	None
ice_MAG_119	79.54	0.93	Neural Network (Specific Model)	None
ice_MAG_121	80.93	3.63	Neural Network (Specific Model)	None
ice_MAG_15	80.64	2.18	Neural Network (Specific Model)	None
ice_MAG_153	79.16	0.06	Neural Network (Specific Model)	None
ice_MAG_154	81.2	0.11	Neural Network (Specific Model)	None
ice_MAG_197	81.85	0.42	Neural Network (Specific Model)	None
ice_MAG_2	83.09	0	Neural Network (Specific Model)	None
ice_MAG_20	79.41	0.69	Neural Network (Specific Model)	None
ice_MAG_200	71.51	0	Neural Network (Specific Model)	None
ice_MAG_206	85.25	1.21	Neural Network (Specific Model)	None
ice_MAG_25	93.54	0.7	Gradient Boost (General Model)	None
ice_MAG_28	83.88	0.06	Neural Network (Specific Model)	None
ice_MAG_29	90.96	0.38	Neural Network (Specific Model)	None
ice_MAG_30	80.32	0.82	Neural Network (Specific Model)	None
ice_MAG_33	79.75	0.72	Neural Network (Specific Model)	None
ice_MAG_37	76.61	0.89	Neural Network (Specific Model)	None
ice_MAG_50	81.23	1.65	Neural Network (Specific Model)	None
ice_MAG_51	71.76	0.12	Neural Network (Specific Model)	None
ice_MAG_62	90.35	0.22	Neural Network (Specific Model)	None
ice_MAG_76	87.5	0.42	Neural Network (Specific Model)	None
ice_MAG_79	79.84	0.53	Neural Network (Specific Model)	None
ice_MAG_83	79.14	0.17	Neural Network (Specific Model)	None
ice_MAG_89	82.26	0.53	Neural Network (Specific Model)	None
ice_MAG_94	71.03	0.01	Neural Network (Specific Model)	None
river_bin_metabat_1523	82.36	1.97	Neural Network (Specific Model)	None
river_bin_metabat_1556	78.38	1	Neural Network (Specific Model)	None
river_metabat_ad.2212	99.87	0.24	Neural Network (Specific Model)	None
river_metabat_ad.2894	97.26	3.95	Neural Network (Specific Model)	None
river_metabat_ad.3037	93.05	0.16	Neural Network (Specific Model)	None
river_metabat_ad.481	72.74	1.91	Neural Network (Specific Model)	None
river_metabinner_orig_365	84.13	2.7	Neural Network (Specific Model)	None
